Twitter Users,Retweeted User,Retweets,Generation,User followers
Notyour28981739,HegKong,389,1,8147
barnes_law,ianmSC,388,2,239991
waynerohde,DrJBhattacharya,387,2,4012
JeffereyJaxen,DrJBhattacharya,387,2,29778
ChildrensHD,RobertKennedyJr,386,1,56142
ClareCraigPath,DrEliDavid,386,1,94826
barnes_law,RobertKennedyJr,385,2,238822
HegKong,JamesMelville,385,1,32092
YardleyShooting,DrCharlesL,385,1,52253
jorient,uTobian,384,1,7434
SNCCLA,uTobian,379,1,4815
ChildrensHD,RobertKennedyJr,373,1,86398
avoiceforchoice,delbigtree,373,1,8182
eileeniorio,RobertKennedyJr,372,1,16872
avoiceforchoice,HighWireTalk,372,1,8355
ToniaBuxton,DrHoenderkamp,372,2,107830
ChildrensHD,RobertKennedyJr,371,1,69342
YardleyShooting,JamesMelville,370,1,52091
ClareCraigPath,EssexPR,369,1,86797
JeffereyJaxen,MartinKulldorff,368,1,26458
sallyKP,GenRescue,367,1,11813
eileeniorio,RobertKennedyJr,366,1,16690
Notyour28981739,brianvastag,365,1,13234
SNCCLA,HighWireTalk,364,1,5125
HegKong,ClareCraigPath,363,1,33552
MartyMakary,VPrasadMDMPH,362,2,152728
ClareCraigPath,toadmeister,361,1,111891
SNCCLA,RobertKennedyJr,361,1,4814
lifebiomedguru,dockaurG,361,1,41802
ChildrensHD,RobertKennedyJr,360,1,82096
ClareCraigPath,alanvibe,358,1,72862
sallyKP,uTobian,356,1,12399
ChildrensHD,RobertKennedyJr,356,1,78482
SNCCLA,HighWireTalk,356,1,5203
waynerohde,SenRonJohnson,355,1,3724
jonrappoport,forrestmaready,353,1,66856
ClareCraigPath,DrAseemMalhotra,353,1,95172
HegKong,SikhForTruth,351,1,31769
ClareCraigPath,DrEliDavid,350,1,108727
waynerohde,RobertKennedyJr,349,1,3769
ezralevant,RepThomasMassie,347,2,352584
Notyour28981739,uTobian,346,1,6756
ClareCraigPath,toadmeister,345,1,73873
ChildrensHD,RobertKennedyJr,345,1,88044
waynerohde,RobertKennedyJr,341,1,3516
ClareCraigPath,MaajidNawaz,341,1,107757
Notyour28981739,RepThomasMassie,340,1,11124
YardleyShooting,JamesMelville,340,1,63330
ritamollerpalma,RobertKennedyJr,338,1,5322
ClareCraigPath,MaajidNawaz,337,1,88206
sallyKP,uTobian,336,1,12166
lifebiomedguru,dockaurG,335,1,20212
ClareCraigPath,ianmSC,334,1,105819
ChildrensHD,RobertKennedyJr,333,1,107666
ClareCraigPath,PaulMitchell_AB,332,1,96761
jonrappoport,JackPosobiec,331,1,63084
ritamollerpalma,lifebiomedguru,329,1,5091
Believe_Mothers,forrestmaready,329,1,5647
derekjamesfrom,ezralevant,328,3,8180
HegKong,ChildrensHD,326,1,13608
eileeniorio,RobertKennedyJr,324,1,20916
Believe_Mothers,RobertKennedyJr,324,1,5826
ClareCraigPath,aginnt,324,1,91276
YardleyShooting,ToniaBuxton,323,1,53582
lifebiomedguru,RobertKennedyJr,322,1,39177
Notyour28981739,ianmSC,322,1,12389
debnantz,HighWireTalk,322,1,9143
HegKong,MaajidNawaz,320,1,36010
ClareCraigPath,SikhForTruth,319,1,73256
SNCCLA,justiceforevee,317,1,5659
HegKong,BusyDrT,316,1,12817
Ward57434516,TonyHinton2016,314,4,62
dockaurG,MartinKulldorff,312,4,172972
ClareCraigPath,cricketwyvern,311,1,94010
jorient,cricketwyvern,308,1,8026
YardleyShooting,MaajidNawaz,304,1,66084
jorient,HegKong,302,1,8150
kksheld,akheriaty,302,2,117979
ChildrensHD,RobertKennedyJr,301,1,69113
HegKong,rick_pittman,301,1,31795
avoiceforchoice,lifebiomedguru,301,1,8090
sallyKP,uTobian,300,1,12466
justiceforevee,uTobian,300,1,11014
ClareCraigPath,ianmSC,300,1,80271
ChildrensHD,RobertKennedyJr,299,1,84629
Notyour28981739,ChildrensHD,299,1,6924
waynerohde,RandPaul,298,1,3767
ChildrensHD,RobertKennedyJr,296,1,81744
ChildrensHD,RobertKennedyJr,294,1,85075
ChildrensHD,RobertKennedyJr,293,1,87648
ClareCraigPath,cricketwyvern,293,1,92066
sallyKP,uTobian,292,1,12399
eileeniorio,RobertKennedyJr,292,1,20569
justiceforevee,PaulMitchell_AB,288,1,12649
SNCCLA,HighWireTalk,288,1,5647
ChildrensHD,RobertKennedyJr,287,1,93247
avoiceforchoice,forrestmaready,285,1,8308
barnes_law,danielkotzin,284,2,239241
sallyKP,uTobian,283,1,12116
JeffereyJaxen,RandPaul,283,1,22005
DrJBhattacharya,MartinKulldorff,283,2,186164
kksheld,MartyMakary,278,2,117709
HegKong,TonyHinton2016,276,1,31790
ChildrensHD,RobertKennedyJr,276,1,91054
debnantz,HighWireTalk,276,1,9920
Notyour28981739,danielkotzin,274,1,11173
waynerohde,uTobian,271,1,3273
ChildrensHD,RobertKennedyJr,271,1,69238
BeckyJohnson222,uTobian,270,1,4787
ChildrensHD,RobertKennedyJr,270,1,83248
jorient,JuliusRuechel,268,1,8330
barnes_law,RobertKennedyJr,267,2,239790
Notyour28981739,robinmonotti,266,1,7874
ClareCraigPath,ianmSC,266,1,82922
lifebiomedguru,HighWireTalk,265,1,37343
eileeniorio,RobertKennedyJr,264,1,20682
jorient,JamesMelville,263,1,8490
